1616→21258,4
1617→24518,4
1618→29207,2
1619→32019,6
1620→25892,4
1621→23359,2
1622→29451,6
1623→28583,4
1624→22885,10
1625→35832,46
1626→24188,24
1627→39405,6
1628→31668,2
1629→34128,42
1630→28577,8
1631→34914,4
1632→39637,2
1633→27967,2
1634→28113,12
1635→26089,18
1636→39253,4
1637→33769,2
1638→38381,12
1639→32489,12
1640→36029,2
1641→31491,12
1642→26426,6
1643→23968,2
1644→35203,40
1645→40406,2
1646→32026,12
1647→21431,2
1648→29238,392
1649→32442,4
1650→38178,2
1651→21055,2
1652→38944,2
1653→32670,54
1654→35455,2
1655→34741,2
1656→25401,8
1657→40096,2
1658→33564,6
1659→36016,6
1660→20173,14
1661→33756,4
1662→21293,2
1663→20341,6
1664→27958,2
1665→31001,2
1666→39608,6
1667→20725,4
1668→28548,16
1669→27500,58
1670→22240,26
1671→30785,2
1672→27732,2
1673→33100,2
1674→30778,2
1675→25098,206
1676→38515,88
1677→24976,8
1678→24378,48
1679→29467,46
1680→23961,2
1681→35804,2
1682→38343,4
1683→40259,2
1684→26877,2
1685→23539,588
1686→29231,86
1687→40857,182
1688→20348,8
1689→28317,6
1690→33109,6
1691→24982,2
1692→36649,6
1693→32474,8
1694→38972,18
1695→21063,92
1696→26848,6
1697→35463,6
1698→23506,44
1699→30111,2
1700→32646,18
1701→21251,78
1702→23162,2
1703→29458,8
1704→26410,154
1705→25295,2
1706→32222,2
1707→38718,6
1708→24347,8
1709→32010,2
1710→21407,34
1711→24949,2
1712→34121,2
1713→22878,4
1714→31453,50
1715→36676,2
1716→24181,12
1717→20521,6
1718→22276,2
1719→27704,492
1720→31661,8
1721→39068,52
1722→32480,4
1723→20145,82
1724→39854,42
1725→21097,74
1726→36020,42
1727→22612,6
1728→22420,102
1729→35497,2
1730→34545,2
1731→26080,218
1732→27152,2
1733→25605,2
1734→36212,2
1735→25259,2
1736→28546,2
1737→29494,96
1738→23992,2
1739→22840,18
1740→31659,4
1741→39434,4
1742→33932,2
1743→24985,2
1744→28310,6
1745→40098,2
1746→20941,4
1747→38182,2
1748→36824,42
1749→39050,6
1750→36018,2
1751→22418,6
1752→20189,2
1753→38344,2
1754→39296,14
1755→21269,120
1756→29004,14
1757→29838,6
1758→30129,2
1759→35803,14
1760→38512,38
1761→22427,2
1762→27969,22
1763→34542,14
1764→26087,46
1765→28921,2
1766→27155,22
1767→25602,2
1768→36215,28
1769→32487,38
1770→20142,26
1771→36027,32
1772→22615,2
1773→33131,4
1774→24186,56
1775→37591,4
1776→22271,6
1777→29699,4
1778→27703,4
1779→27531,2
1780→31454,50
1781→36671,20
1782→24172,10
1783→37565,2
1784→22285,6
1785→30740,12
1786→26625,20
1787→26417,84
1788→32225,2
1789→40605,2
1790→21632,2
1791→36685,4
1792→29807,4
1793→24724,2
1794→33793,8
1795→32641,24
1796→20384,10
1797→21256,16
1798→38149,10
1799→24516,64
1800→32473,10
1801→37101,148
1802→34784,4
1803→23733,2
1804→30384,2
1805→23793,6
1806→20116,172
1807→36241,6
1808→33733,8
1809→31064,2
1810→28975,6
1811→31858,4
1812→34516,6
1813→28149,32
1814→21692,8
1815→20740,10
